review_text,label,source_type
"Absolutely amazing experience! Five stars all the way! Best restaurant EVER! Must visit! Tell all your friends! Outstanding! Wonderful! Perfect! Cannot say enough great things!!!",fake,generated
"The pasta was a bit overcooked but the service was friendly and the atmosphere was cozy. Would probably come back to try the pizza.",real,generated
"BEST PRODUCT I HAVE EVER USED IN MY ENTIRE LIFE!!! Changed my life completely! Buy this now! You will NOT regret it! 10/10 would recommend to everyone I know!",fake,generated
"Waited about 20 minutes for a table on a Saturday night which was expected. The burger was solid — nothing groundbreaking but cooked well and the fries were crispy.",real,generated
"This place is INCREDIBLE! Every single dish is perfection! The staff are angels! I come here every week and it never disappoints! Truly a hidden gem!",fake,generated
"Decent coffee, a bit pricey for the size of the drinks. The barista was nice and the place has good wifi if you need to work.",real,generated
"WOW WOW WOW! I have tried hundreds of restaurants and this is hands down the BEST ONE EVER! Every item on the menu is a masterpiece! Pure perfection!",fake,generated
"The tacos were pretty good — fresh ingredients, nice salsa. The chips were a little stale though. Staff was attentive.",real,generated
"I never write reviews but I had to for this place! AMAZING! OUTSTANDING! 5 stars isn't enough! This changed my entire perspective on food!",fake,generated
"Service was slow on a busy Friday night but the food came out hot and tasted great. The chicken sandwich is worth ordering.",real,generated
"Best sushi I've ever had hands down! Absolutely divine! Every roll melted in my mouth! The chef is a genius! HIGHLY HIGHLY RECOMMEND!!!",fake,generated
"It's a solid neighborhood spot. Nothing fancy, but consistent. The ramen broth is flavorful and portions are decent for the price.",real,generated
"This product is a miracle worker!!! I saw results OVERNIGHT! Everyone keeps complimenting me! Best purchase of my entire life without question!",fake,generated
"The moisturizer is lightweight and absorbs well. It didn't break me out which is always a concern with my sensitive skin. Scent is mild.",real,generated
"I bought this for my mom and she cried tears of joy!!! She said it was the best gift she ever received!!! This product is truly life-changing!!!",fake,generated
"Does the job. Packaging was a little flimsy and took 9 days to arrive but the product itself works as described.",real,generated
"UNBELIEVABLE QUALITY! NOTHING COMPARES! I have purchased from dozens of brands and this is SUPERIOR IN EVERY WAY! Don't even bother looking elsewhere!",fake,generated
"Returned it after two weeks. The seams started fraying and the zipper got stuck. Customer service was quick to respond though.",real,generated
"ZERO STARS IF I COULD! Worst place imaginable! Terrible! Never go here! They ruined my special occasion! Everything was disgusting!!! AVOID AT ALL COSTS!!!",fake,generated
"The reservation got mixed up and we had to wait an extra 15 minutes. The manager apologized and comped our desserts, which was a nice gesture.",real,generated
"Every single dish we ordered was perfect. The ambiance is magical. The service is impeccable. Every staff member smiled at us the whole time.",fake,generated
"The pizza crust is thin and crispy the way I like it. Sauce could use a bit more seasoning. Delivery was on time.",real,generated
"I'm obsessed with this restaurant!!! I dream about their food!!! I've recommended it to literally every single person I know and they all agree it's perfect!!!",fake,generated
"The steak was cooked to a proper medium-rare and the sides were fresh. A little loud inside but the food made up for it.",real,generated
"This supplement changed everything for me!!! Lost 20 pounds in 2 weeks!!! My doctor was shocked!!! Why isn't everyone using this???",fake,generated
"It's a probiotic and I've been taking it for a month. My digestion does feel a bit more regular. Hard to say if it's placebo.",real,generated
"The headphones have clear sound and the noise cancellation works well on my commute. Battery lasts about as long as advertised. Comfortable for long sessions.",real,generated
"THESE HEADPHONES WILL LITERALLY CHANGE YOUR LIFE!!! The sound quality is like having a concert in your ears!!! Nothing else comes close!!!",fake,generated
"Good neighborhood bakery. The croissants are flaky and buttery. The line can get long on weekends but it moves quickly.",real,generated
"BEST BAKERY IN THE UNIVERSE!!! Their croissants are PERFECT!!! My whole family was in tears of joy after the first bite!!! We go every single day!!!",fake,generated
"The gym is clean and well-equipped. Peak hours (6-8pm) can get crowded but I've never had to wait long for machines.",real,generated
"THIS GYM IS MAGICAL!!! I lost 30 pounds in one month JUST by being near the equipment!!! The staff are literally angels!!!",fake,generated
"The jacket fits true to size. The material feels durable. Zipper is smooth. Looks good, matches the photos online.",real,generated
"THIS JACKET IS THE MOST BEAUTIFUL GARMENT EVER MADE BY HUMAN HANDS!!! I wear it everywhere and get stopped constantly by strangers asking where I got it!!!",fake,generated
"Mediocre Thai food. The pad see ew was bland and the spring rolls were greasy. The service was fine, waitstaff was attentive.",real,generated
"INCREDIBLE THAI EXPERIENCE!!! Every sauce, every noodle, every vegetable was perfection! The chef must have trained with masters! 5 stars 1000 times over!!!",fake,generated
"The hotel room was clean and the bed was comfortable. Breakfast selection was decent. Location was convenient to the conference center.",real,generated
"BEST HOTEL ON EARTH!!! I felt like royalty!!! Every single staff member treated us like celebrities!!! I will stay here every single time I visit!!!",fake,generated
"The blender works well for smoothies. A little loud but nothing unusual. Easy to clean. Solid for the price.",real,generated
"THIS BLENDER IS A MIRACLE MACHINE!!! It has made me the happiest person alive!!! I blend things I never even wanted to blend JUST because it's so amazing!!!",fake,generated
"Nice little coffee shop. Quiet in the mornings, good for working. The lattes are well-made and they have oat milk.",real,generated
"THE MOST EXTRAORDINARY COFFEE SHOP KNOWN TO HUMANITY!!! Every sip brought me closer to enlightenment!!! The baristas are world class geniuses!!!",fake,generated
"App works fine. The interface is a little cluttered but you get used to it. Syncs quickly and hasn't crashed on me.",real,generated
"THIS APP WILL CHANGE YOUR LIFE FOREVER!!! I have never experienced anything so perfect in all my years on this earth!!! DOWNLOAD IMMEDIATELY!!!",fake,generated
"The sushi was fresh and the rolls were generously filled. A bit pricey but reasonable for the quality. Parking can be tricky.",real,generated
"DIVINE SUSHI SENT FROM THE HEAVENS!!! The chef is without question the greatest culinary artist alive today!!! Every roll was a religious experience!!!",fake,generated
"The course content was useful and the instructor explained concepts clearly. Some of the video quality was low but the material was solid.",real,generated
"THIS COURSE WILL MAKE YOU A MILLIONAIRE!!! I applied what I learned and instantly became an expert!!! The instructor is literally a genius!!!",fake,generated
"Good running shoes. Good arch support, breathable mesh upper. Ran a half marathon in them with no blisters.",real,generated
"THESE SHOES ARE MAGICAL!!! I felt like I was running on clouds made of pure joy!!! I shaved 20 minutes off my marathon time IMMEDIATELY!!!",fake,generated
"The burger place has a solid smash burger. Cheese is melted properly, bun doesn't get soggy. Fries are thin and salty.",real,generated
